118,8.06331,69, bomj
61,5.46451,2, bomj
121,4.47084,31, bomj
142,5.86238,159, bomj
52,4.32689,127, bomj
177,9.45185,41, bomj
25,4.65878,158, bomj
182,9.22393,99, bomj
190,8.97034,9, bomj
36,0.756081,138, bomj
78,2.33089,38, bomj
60,0.392869,79, bomj
122,8.78341,151, bomj
108,6.5135,146, bomj
135,0.652116,68, bomj
151,2.44352,28, bomj
92,4.47018,154, bomj
158,10.0826,36, bomj
192,8.17428,100, bomj
60,7.24392,23, bomj
105,4.60247,79, bomj
93,1.03699,18, bomj
42,0.680773,51, bomj
197,7.8857,187, bomj
140,3.04399,145, bomj
58,1.89137,67, bomj
19,8.96501,13, bomj
132,4.94835,62, bomj
73,7.75108,153, bomj
161,7.06898,93, bomj
49,10.0873,162, bomj
160,1.26591,27, bomj
184,8.68477,140, bomj
24,4.38221,86, bomj
42,3.93236,45, bomj
88,5.33522,81, bomj
91,7.33755,157, bomj
133,3.61313,94, bomj
102,7.21759,111, bomj
182,3.43286,137, bomj
106,6.52449,36, bomj
121,2.24558,159, bomj
89,8.27924,56, bomj
133,7.93602,30, bomj
54,6.5145,7, bomj
0,9.48417,183, bomj
195,7.86771,104, bomj
70,10.887,184, bomj
172,4.41886,199, bomj
83,4.01,149, bomj
9,3.66378,165, bomj
152,4.88804,177, bomj
180,10.1533,157, bomj
80,1.2046,51, bomj
113,0.0673109,172, bomj
55,9.55815,141, bomj
194,10.3849,54, bomj
159,7.02566,68, bomj
161,10.1546,92, bomj
7,3.58314,156, bomj
4,2.96201,28, bomj
1,1.5055,63, bomj
120,0.339887,137, bomj
112,6.32389,10, bomj
164,0.484505,70, bomj
173,2.02766,18, bomj
33,6.68311,62, bomj
100,1.54682,97, bomj
63,5.4042,98, bomj
83,10.871,2, bomj
72,4.26982,158, musor
64,3.68554,85, musor
47,16.3531,137, musor
13,12.7189,106, musor
67,11.4517,28, musor
48,1.79081,72, musor
21,21.7335,19, musor
34,1.00133,179, musor
21,4.12192,32, musor
10,5.92738,96, musor
43,15.1805,148, musor
25,11.525,44, musor
4,18.5037,68, musor
59,15.5623,190, musor
76,1.2998,143, musor
2,20.7282,65, musor
20,11.2791,63, musor
11,18.4097,128, musor
96,11.1885,137, musor
64,2.47502,16, musor
58,19.3931,42, musor
71,11.8261,26, musor
66,7.88474,88, musor
59,5.92072,122, musor
27,3.3571,16, musor
81,12.1299,160, musor
91,8.45903,76, musor
99,16.3031,144, musor
94,6.45769,66, musor
48,4.78947,111, musor
49,12.7408,190, musor
77,15.5023,135, musor
27,7.00999,115, musor
0,17.6203,38, musor
84,16.3431,144, musor
40,15.1732,77, musor
21,8.7515,73, musor
47,7.94803,23, musor
64,3.60293,69, musor
3,20.8541,60, musor
97,8.47368,21, musor
17,7.86609,11, musor
83,1.62092,57, musor
22,5.49833,143, musor
1,14.8668,107, musor
10,0.229847,29, musor
65,3.7042,59, musor
30,3.62358,51, musor
52,19.6529,157, musor
69,13.1712,157, musor
50,18.034,146, musor
57,11.5929,104, musor
63,7.64224,108, musor
12,14.9414,0, musor
75,6.19987,77, musor
93,1.69021,72, musor
68,15.958,40, musor
73,9.53298,118, musor
0,11.0913,118, musor
51,19.3031,167, musor
73,1.59893,34, musor
87,2.21519,189, musor
12,20.4724,9, musor
36,15.9587,172, musor
23,7.85143,135, musor
98,17.1326,12, musor
89,18.5523,169, musor
48,20.6083,159, musor
39,17.6143,167, musor
64,10.7328,27, musor
198,8.11296,263, bootilka
73,12.239,80, bootilka
81,4.03105,26, bootilka
43,10.8092,277, bootilka
30,1.69892,108, bootilka
39,4.30198,187, bootilka
160,11.2556,55, bootilka
87,8.08821,156, bootilka
72,13.2817,154, bootilka
192,10.6107,149, bootilka
121,7.29298,227, bootilka
88,4.26238,143, bootilka
72,7.90594,40, bootilka
120,11.0698,12, bootilka
80,7.38119,240, bootilka
132,0.0459046,273, bootilka
102,9.22367,254, bootilka
86,14.6418,208, bootilka
100,3.43924,286, bootilka
164,11.3533,290, bootilka
15,12.8407,184, bootilka
89,4.47975,65, bootilka
161,2.02745,57, bootilka
199,12.1481,25, bootilka
90,12.365,88, bootilka
185,10.635,255, bootilka
199,9.79883,23, bootilka
9,11.9959,152, bootilka
55,1.29073,251, bootilka
202,9.39244,272, bootilka
95,10.2264,130, bootilka
159,0.585509,41, bootilka
15,12.9356,134, bootilka
173,4.56031,194, bootilka
87,12.248,271, bootilka
70,0.224572,42, bootilka
112,2.55941,273, bootilka
89,4.5198,204, bootilka
84,8.15617,327, bootilka
16,2.81143,109, bootilka
104,2.56706,160, bootilka
62,14.3938,85, bootilka
47,9.85779,11, bootilka
142,2.80423,223, bootilka
115,1.00405,137, bootilka
198,7.85644,113, bootilka
21,0.829433,7, bootilka
175,5.91134,273, bootilka
124,3.72367,58, bootilka
81,12.6823,191, bootilka
9,2.39199,145, bootilka
167,3.82178,49, bootilka
32,10.6377,70, bootilka
8,9.10666,266, bootilka
184,3.13951,153, bootilka
114,1.15617,295, bootilka
129,12.5036,43, bootilka
119,11.0545,86, bootilka
83,9.14401,239, bootilka
195,11.2228,254, bootilka
174,4.09946,154, bootilka
44,14.5608,4, bootilka
208,8.0045,31, bootilka
172,3.53105,174, bootilka
178,2.26733,99, bootilka
39,6.47255,287, bootilka
39,1.13591,138, bootilka
136,14.5855,274, bootilka
15,5.68812,214, bootilka
154,12.7016,191, bootilka
